交易日期,產品名稱,加權平均價(元/公斤),總交易量(公斤)
2025/05/11,青花苔,40.5763190529876,1774.0
2025/05/11,青蔥,20.7531330472103,1165.0
2025/05/11,韭菜,44.7212,125.0
2025/05/11,香茅,23.85,26.0
2025/05/11,馬鈴薯,18.97,1440.0
2025/05/11,鵲豆,20.0,8.0
2025/05/11,黃秋葵,37.63,759.0
2025/05/13,九層塔,18.28,346.0
2025/05/13,其他,94.0,80.0
2025/05/13,冬瓜,11.89,1431.0
2025/05/13,包心白菜,12.680967664670655,4175.0
2025/05/13,南瓜,15.380155304888016,6117.0
2025/05/13,大蒜,39.33559505409583,1294.0
2025/05/13,小白菜,10.2795983436853,2415.0
2025/05/13,巴西利,60.42,48.0
2025/05/13,扁蒲,2.0469558599695583,657.0
2025/05/13,敏豆,42.61186615186615,3108.0
2025/05/13,油菜,10.83,1540.0
2025/05/13,洋蔥,23.045689277899346,1828.0
2025/05/13,濕木耳,38.29,126.0
2025/05/13,濕香菇,90.0,72.0
2025/05/13,熟筍,55.71,105.0
2025/05/13,玉米,14.440375888926516,2953.0
2025/05/13,球莖甘藍,5.0,160.0
2025/05/13,甘藍,8.773022222222222,4500.0
2025/05/13,甘藷,30.70760577915377,969.0
2025/05/13,甘藷葉,18.48,417.0
2025/05/13,甜椒,27.300370898716125,2103.0
2025/05/13,番茄,29.620000000000005,4884.0
2025/05/13,百合,220.0,10.0
2025/05/13,皇宮菜,16.0,30.0
2025/05/13,竹筍,41.85,1600.0
2025/05/13,絲瓜,10.488631946553296,6586.0
2025/05/13,胡瓜,7.66,8523.0
2025/05/13,胡蘿蔔,11.483866432337434,5690.0
2025/05/13,芥菜,5.75,680.0
2025/05/13,芥藍菜,12.272140992167104,1149.0
2025/05/13,芫荽,60.18,334.0
2025/05/13,花椰菜,33.78,1286.0
2025/05/13,花胡瓜,12.06128252788104,4304.0
2025/05/13,芹菜,26.330681114551087,1292.0
2025/05/13,苦瓜,22.178606439211915,4162.0
2025/05/13,茄子,11.6637963587323,2966.0
2025/05/13,茭白筍,70.02547854785479,606.0
2025/05/13,莧菜,12.63,270.0
2025/05/13,菜豆,21.94,111.0
2025/05/13,菠菜,18.057602040816327,1960.0
2025/05/13,萊豆,45.0,115.0
2025/05/13,萵苣菜,12.638818458417852,3944.0
2025/05/13,落花生,25.0,60.0
2025/05/13,蕨菜,65.0,5.0
2025/05/13,蕹菜,12.456123348017622,1135.0
2025/05/13,薑,37.27,262.0
2025/05/13,薯蕷,38.13915254237288,295.0
2025/05/13,蘆筍,129.2533540372671,161.0
2025/05/13,蘿蔔,12.061441202475685,1131.0
2025/05/13,虎豆,45.71,147.0
2025/05/13,豌豆,98.33333333333331,120.0
2025/05/13,辣椒,31.49412186379929,279.0
2025/05/13,隼人瓜,6.5472602739726025,876.0
2025/05/13,青江白菜,8.39,2104.0
2025/05/13,青花苔,47.37,464.0
2025/05/13,青蔥,24.233538732394365,1136.0
2025/05/13,韭菜,25.70447488584476,219.0
2025/05/13,香茅,28.0,40.0
2025/05/13,馬鈴薯,20.27,1440.0
2025/05/13,黃秋葵,40.31,962.0
2025/05/14,九層塔,16.39,290.0
2025/05/14,其他,41.78,180.0
2025/05/14,冬瓜,11.24,1056.0
2025/05/14,包心白菜,10.833053234662213,4189.0
2025/05/14,南瓜,17.720994764397908,4202.0
2025/05/14,大蒜,48.64415652173913,575.0
2025/05/14,小白菜,10.906174445294567,2614.0
2025/05/14,巴西利,77.47,34.0
2025/05/14,扁蒲,6.086842105263158,228.0
2025/05/14,敏豆,48.00393867924528,1272.0
2025/05/14,杏鮑菇,41.9,830.0
2025/05/14,油菜,8.97,2134.0
2025/05/14,洋蔥,21.394350180505416,2216.0
