交易日期,產品名稱,加權平均價(元/公斤),總交易量(公斤)
2025/10/10,扁蒲,6.963056379821959,2696.0
2025/10/10,敏豆,60.09249125262421,2858.0
2025/10/10,杏鮑菇,30.15,1602.0
2025/10/10,油菜,34.59,929.0
2025/10/10,洋菇,17.0,12.0
2025/10/10,洋蔥,20.51431908329661,2269.0
2025/10/10,洛神花,30.0,10.0
2025/10/10,玉米,9.645688729874776,5590.0
2025/10/10,甘藍,27.748865427359064,9898.0
2025/10/10,甘藷,24.4439636913767,2644.0
2025/10/10,甘藷葉,30.06,1292.0
2025/10/10,甜椒,57.123117130866085,2621.0
2025/10/10,番茄,53.67,4300.0
2025/10/10,皇宮菜,23.62,290.0
2025/10/10,竹筍,42.63999999999999,220.0
2025/10/10,絲瓜,20.702746693794506,5898.0
2025/10/10,胡瓜,9.87,2680.0
2025/10/10,胡蘿蔔,15.846365996106424,6164.0
2025/10/10,芋,38.26172185430464,302.0
2025/10/10,芥菜,7.061891891891892,1295.0
2025/10/10,芥藍菜,32.95572232645404,1599.0
2025/10/10,芫荽,119.6229906542056,107.0
2025/10/10,花椰菜,28.36,1921.0
2025/10/10,花胡瓜,27.98900574458684,4526.0
2025/10/10,芹菜,77.83820224719102,356.0
2025/10/10,苦瓜,57.89629324546953,607.0
2025/10/10,茄子,50.82848341232227,1477.0
2025/10/10,茭白筍,65.28999999999999,396.0
2025/10/10,莧菜,21.17,247.0
2025/10/10,菜豆,38.32,110.0
2025/10/10,菠菜,62.95,1316.0
2025/10/10,萵苣菜,41.55514733840304,2104.0
2025/10/10,落花生,50.33,60.0
2025/10/10,蓮藕,29.140000000000004,210.0
2025/10/10,蕹菜,21.72,999.0
2025/10/10,薑,33.0,180.0
2025/10/10,薯蕷,91.61719844357977,257.0
2025/10/10,蘆筍,142.86,21.0
2025/10/10,蘿蔔,14.545969809171174,3511.0
2025/10/10,辣椒,65.84314814814815,324.0
2025/10/10,金絲菇,23.0,60.0
2025/10/10,隼人瓜,13.86,860.0
2025/10/10,青江白菜,32.83,1313.0
2025/10/10,青花苔,71.11703603603604,3330.0
2025/10/10,青蔥,125.3251851851852,675.0
2025/10/10,馬鈴薯,18.07360843158271,2799.0
2025/10/10,鴻喜菇,35.0,18.0
2025/10/10,黃秋葵,35.61,1305.0
2025/10/11,九層塔,26.600000000000005,399.0
2025/10/11,其他,111.79,357.0
2025/10/11,其他菇類,62.5,36.0
2025/10/11,冬瓜,10.389634146341464,492.0
2025/10/11,包心白菜,9.350435103244838,2712.0
2025/10/11,南瓜,21.552191470501327,10153.0
2025/10/11,大蒜,89.46968304278923,631.0
2025/10/11,小白菜,29.333271604938275,972.0
2025/10/11,巴西利,211.06,104.0
2025/10/11,扁蒲,5.019167616875713,2631.0
2025/10/11,敏豆,63.14807244501941,2319.0
2025/10/11,油菜,34.65,340.0
2025/10/11,洋蔥,25.54723404255319,1128.0
2025/10/11,玉米,9.572209347996855,5092.0
2025/10/11,甘藍,24.72444717444717,13024.0
2025/10/11,甘藷,22.613469387755103,1372.0
2025/10/11,甘藷葉,23.31,1553.0
2025/10/11,甜椒,64.207616,2500.0
2025/10/11,番茄,62.52,2510.0
2025/10/11,皇宮菜,25.57,369.0
2025/10/11,竹筍,31.0,160.0
2025/10/11,絲瓜,22.630441252811902,5779.0
2025/10/11,胡瓜,11.06,3469.0
2025/10/11,胡蘿蔔,14.36662389506701,7014.0
2025/10/11,芋,37.35952153110048,418.0
2025/10/11,芥菜,21.58783151326053,641.0
2025/10/11,芥藍菜,42.67213793103449,1160.0
2025/10/11,芫荽,90.0,164.0
2025/10/11,花椰菜,30.65,1433.0
2025/10/11,花胡瓜,30.94074019894675,3418.0
2025/10/11,芹菜,29.78153846153846,1287.0
2025/10/11,苦瓜,69.76968102073364,1254.0
2025/10/11,茄子,43.54911111111112,1440.0
2025/10/11,茭白筍,96.26671232876711,292.0
2025/10/11,莧菜,22.0,54.0
2025/10/11,菜豆,37.38,172.0
2025/10/11,菠菜,75.64,840.0
2025/10/11,萵苣菜,54.06528616024974,961.0
2025/10/11,蓮藕,22.0,240.0
2025/10/11,蕹菜,23.6,1050.0
2025/10/11,薯蕷,92.67352272727273,88.0
2025/10/11,蘆筍,161.18,17.0
2025/10/11,蘿蔔,9.476433666191156,10515.0
2025/10/11,蠔菇,60.0,24.0
2025/10/11,豌豆,47.5,16.0
2025/10/11,辣椒,47.23912556053812,446.0
2025/10/11,金絲菇,17.0,60.0
2025/10/11,隼人瓜,10.8,1000.0
2025/10/11,青江白菜,40.99,597.0
2025/10/11,青花苔,55.57938646788992,3488.0
2025/10/11,青蔥,154.98,744.0
2025/10/11,馬鈴薯,20.995925925925928,2511.0
2025/10/11,鴻喜菇,15.560000000000002,324.0
2025/10/11,黃秋葵,26.44,1515.0
2025/10/12,九層塔,22.05,327.0
2025/10/12,其他,93.99,192.0
2025/10/12,冬瓜,11.08,538.0
2025/10/12,包心白菜,11.76859900373599,4818.0
2025/10/12,南瓜,19.25135916577793,8439.0
2025/10/12,大蒜,97.70187643020596,437.0
2025/10/12,小白菜,55.17697318007662,522.0
2025/10/12,巴西利,159.7,99.0
2025/10/12,扁蒲,3.798259797880207,4057.0
2025/10/12,敏豆,54.63353494623656,2232.0
2025/10/12,杏鮑菇,10.0,180.0
2025/10/12,油菜,38.6,614.0
2025/10/12,洋菇,15.0,12.0
2025/10/12,洋蔥,23.43263157894737,2622.0
2025/10/12,玉米,8.612799892415277,3718.0
2025/10/12,球莖甘藍,3.0,100.0
2025/10/12,甘藍,26.31534836702955,12860.0
2025/10/12,甘藷,21.238702928870293,1195.0
2025/10/12,甘藷葉,24.06,1439.0
2025/10/12,甜椒,44.73801869158878,1605.0
2025/10/12,番茄,57.59,3530.0
2025/10/12,皇宮菜,26.96,240.0
2025/10/12,竹筍,36.17,240.0
2025/10/12,絲瓜,19.327335140018064,7749.0
